code_naf,activite
92.1F,Distribution de films cinématographiques
92.1G,Édition et distribution vidéo
92.1J,Projection de films cinématographiques
92.2A,Activités de radio
92.2B,Production de programmes de télévision
92.2D,Edition de chaînes généralistes
92.2E,Edition de chaînes thématiques
92.2F,Distribution de bouquets de programmes de radio et de télévision
92.3A,Activités artistiques
92.3B,Services annexes aux spectacles
92.3D,Gestion de salles de spectacle
92.3F,Manèges forains et parcs d'attractions
92.3K,Activités diverses du spectacle
92.4Z,Agences de presse
92.5A,Gestion des bibliothèques
92.5C,Gestion du patrimoine culturel
92.5E,Gestion du patrimoine naturel
92.6A,Gestion d'installations sportives
92.6C,Autres activités sportives
92.7A,Jeux de hasard et d'argent
92.7C,Autres activités récréatives
93.0A,Blanchisserie - teinturerie de gros
93.0B,Blanchisserie - teinturerie de détail
93.0D,Coiffure
93.0E,Soins de beauté
93.0G,Soins aux défunts
93.0H,Pompes funèbres
93.0K,Activités thermales et de thalassothérapie
93.0L,Autres soins corporels
93.0N,Autres services personnels
95.0Z,Activités des ménages en tant qu'employeur de personnel domestique
96.0Z,Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre
97.0Z,Activités indifférenciées des ménages en tant que producteurs de services pour usage propre
99.0Z,Activités extra-territoriales
01.11Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses"
01.12Z,Culture du riz
01.13Z,"Culture de légumes, de melons, de racines et de tubercules"
01.14Z,Culture de la canne à sucre
01.15Z,Culture du tabac
01.16Z,Culture de plantes à fibres
01.19Z,Autres cultures non permanentes
01.26Z,Culture de fruits oléagineux
01.28Z,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques"
01.29Z,Autres cultures permanentes
01.63Z,Traitement primaire des récoltes
01.64Z,Traitement des semences
02.30Z,Récolte de produits forestiers non ligneux poussant à l'état sauvage
01.25Z,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque
01.30Z,Reproduction de plantes
02.10Z,Sylviculture et autres activités forestières
01.22Z,Culture de fruits tropicaux et subtropicaux
01.23Z,Culture d'agrumes
01.24Z,Culture de fruits à pépins et à noyau
01.27Z,Culture de plantes à boissons
10.41A,Fabrication d'huiles et graisses brutes
01.21Z,Culture de la vigne
11.02A,Fabrication de vins effervescents
11.02B,Vinification
01.41Z,Élevage de vaches laitières
01.42Z,Élevage d'autres bovins et de buffles
01.43Z,Élevage de chevaux et d'autres équidés
01.45Z,Élevage d'ovins et de caprins
01.49Z,Élevage d'autres animaux
01.62Z,Activités de soutien à la production animale
10.11Z,Transformation et conservation de la  viande de boucherie
01.46Z,Élevage de porcins
01.47Z,Élevage de volailles
01.44Z,Élevage de chameaux et d'autres camélidés
03.22Z,Aquaculture en eau douce
01.50Z,Culture et élevage associés
01.61Z,Activités de soutien aux cultures
10.39A,Autre transformation et conservation de légumes
10.39B,Transformation et conservation de fruits
81.30Z,Services d'aménagement paysager 
01.70Z,"Chasse, piégeage et services annexes"
94.99Z,Autres organisations fonctionnant par adhésion volontaire
02.20Z,Exploitation forestière
16.10A,"Sciage et rabotage du bois, hors imprégnation"
02.40Z,Services de soutien à l'exploitation forestière
03.11Z,Pêche en mer
03.12Z,Pêche en eau douce
70.22Z,Conseil pour les affaires et autres conseils de gestion
03.21Z,Aquaculture en mer
05.10Z,Extraction de houille
09.90Z,Activités de soutien aux autres industries extractives 
19.20Z,Raffinage du pétrole
05.20Z,Extraction de lignite
08.92Z,Extraction de tourbe
06.10Z,Extraction de pétrole brut
06.20Z,Extraction de gaz naturel
09.10Z,Activités de soutien à l'extraction d'hydrocarbures
07.21Z,Extraction de minerais d'uranium et de thorium
07.10Z,Extraction de minerais de fer
07.29Z,Extraction d'autres minerais de métaux non ferreux
08.11Z,"Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise"
08.12Z,"Exploitation de gravières et sablières, extraction d’argiles et de kaolin"
08.91Z,Extraction des minéraux chimiques et d'engrais minéraux 
08.93Z,Production de sel 
10.84Z,Fabrication de condiments et assaisonnements
08.99Z,Autres activités extractives n.c.a.
38.21Z,Traitement et élimination des déchets non dangereux
10.11Z,Transformation et conservation de la viande de boucherie
10.12Z,Transformation et conservation de la viande de volaille
10.13A,Préparation industrielle de produits à base de viande
10.85Z,Fabrication de plats préparés
10.89Z,Fabrication d'autres produits alimentaires n.c.a.
10.13B,Charcuterie
56.10C,Restauration de type rapide
10.20Z,"Transformation et conservation de poisson, de crustacés et de mollusques"
10.31Z,Transformation et conservation de pommes de terre
10.32Z,Préparation de jus de fruits et légumes
10.41B,Fabrication d'huiles et graisses raffinées
10.42Z,Fabrication de margarine et graisses comestibles similaires
10.51A,Fabrication de lait liquide et de produits frais
10.51B,Fabrication de beurre
10.51C,Fabrication de fromage
10.51D,Fabrication d'autres produits laitiers
10.52Z,Fabrication de glaces et sorbets
10.61A,Meunerie
10.61B,Autres activités du travail des grains
10.62Z,Fabrication de produits amylacés
10.91Z,Fabrication d'aliments pour animaux de ferme
10.92Z,Fabrication d'aliments pour animaux de compagnie
10.71A,Fabrication industrielle de pain et de pâtisserie fraîche
10.71B,Cuisson de produits de boulangerie
10.71C,Boulangerie et boulangerie-pâtisserie
10.71D,Pâtisserie
10.72Z,"Fabrication de biscuits, biscottes et pâtisseries de conservation"
10.81Z,Fabrication de sucre
10.82Z,"Fabrication de cacao, chocolat et de produits de confiserie"
10.73Z,Fabrication de pâtes alimentaires
10.83Z,Transformation du thé et du café
10.86Z,Fabrication d'aliments homogénéisés et diététiques
11.01Z,Production de boissons alcooliques distillées
20.14Z,Fabrication d'autres produits chimiques organiques de base
11.03Z,Fabrication de cidre et de vins de fruits 
11.04Z,Production d'autres boissons fermentées non distillées
11.05Z,Fabrication de bière
11.06Z,Fabrication de malt
11.07A,Industrie des eaux de table
11.07B,Production de boissons rafraîchissantes
12.00Z,Fabrication de produits à base de tabac
13.10Z,Préparation de fibres textiles et filature
13.20Z,Tissage
13.30Z,Ennoblissement textile
13.92Z,"Fabrication d'articles textiles, sauf habillement"
32.50A,Fabrication de matériel médico-chirurgical et dentaire
32.50A,Fabrication de matériels médico-chirurgical et dentaire
33.19Z,Réparation d'autres équipements
13.93Z,Fabrication de tapis et moquettes
13.94Z,"Fabrication de ficelles, cordes et filets"
13.95Z,"Fabrication de non-tissés, sauf habillement"
13.96Z,Fabrication d'autres textiles techniques et industriels
13.99Z,Fabrication d'autres textiles n.c.a.
17.22Z,Fabrication d'articles en papier à usage sanitaire ou domestique
13.91Z,Fabrication d'étoffes à mailles
14.19Z,Fabrication d'autres vêtements et accessoires
14.31Z,Fabrication d'articles chaussants à mailles
14.39Z,Fabrication d'autres articles à mailles
14.11Z,Fabrication de vêtements en cuir
32.99Z,Autres activités manufacturières n.c.a. 
14.12Z,Fabrication de vêtements de travail
14.13Z,Fabrication de vêtements de dessus
14.14Z,Fabrication de vêtements de dessous
14.20Z,Fabrication d'articles en fourrure
15.11Z,Apprêt et tannage des cuirs ; préparation et teinture des fourrures
15.12Z,"Fabrication d'articles de voyage, de maroquinerie et de sellerie"
15.20Z,Fabrication de chaussures
16.29Z,"Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie"
22.19Z,Fabrication d'autres articles en caoutchouc
22.29B,Fabrication de produits de consommation courante en matières plastiques
32.30Z,Fabrication d'articles de sport
16.10B,Imprégnation du bois
16.21Z,Fabrication de placage et de panneaux de bois
16.22Z,Fabrication de parquets assemblés
16.23Z,Fabrication de charpentes et d'autres menuiseries
43.32A,Travaux de menuiserie bois et PVC
43.91A,Travaux de charpente
16.24Z,Fabrication d'emballages en bois
16.29Z,"Fabrication d'objets divers en bois; fabrication d'objets en liège, vannerie et sparterie"
17.11Z,Fabrication de pâte à papier
17.12Z,Fabrication de papier et de carton
17.21A,Fabrication de carton ondulé
17.21B,Fabrication de cartonnages 
17.21C,Fabrication d'emballages en papier
18.12Z,Autre imprimerie (labeur)
17.23Z,Fabrication d'articles de papeterie
17.24Z,Fabrication de papiers peints
17.29Z,Fabrication d'autres articles en papier ou en carton
58.11Z,Édition de livres
58.12Z,Édition de répertoires et de fichiers d'adresses
58.13Z,Édition de journaux
58.14Z,Édition de revues et périodiques
59.20Z,Enregistrement sonore et édition musicale 
58.19Z,Autres activités d'édition
18.11Z,Imprimerie de journaux
18.14Z,Reliure et activités connexes
18.13Z,Activités de pré-presse 
18.20Z,Reproduction d'enregistrements
19.10Z,Cokéfaction
20.13A,Enrichissement et  retraitement de matières nucléaires
21.20Z,Fabrication de préparations pharmaceutiques
24.46Z,Élaboration et transformation de matières nucléaires
38.12Z,Collecte des déchets dangereux
38.22Z,Traitement et élimination des déchets dangereux
20.11Z,Fabrication de gaz industriels
20.12Z,Fabrication de colorants et de pigments
20.13B,Fabrication d'autres produits chimiques inorganiques de base n.c.a.
20.15Z,Fabrication de produits azotés et d'engrais
20.16Z,Fabrication de matières plastiques de base
20.17Z,Fabrication de caoutchouc synthétique
20.20Z,Fabrication de pesticides et d’autres produits agrochimiques
20.30Z,"Fabrication de peintures, vernis, encres et mastics"
21.10Z,Fabrication de produits pharmaceutiques de base
32.50A,Fabrication de matériel chirurgical et dentaire
20.41Z,"Fabrication de savons, détergents et produits d'entretien"
20.42Z,Fabrication de parfums et de produits pour la toilette
20.51Z,Fabrication de produits explosifs
20.52Z,Fabrication de colles
20.59Z,Fabrication d'autres produits chimiques n.c.a.
20.53Z,Fabrication d'huiles essentielles
26.80Z,Fabrication de supports magnétiques et optiques
26.11Z,Fabrication de composants électroniques
20.60Z,Fabrication de fibres artificielles ou synthétiques
22.11Z,Fabrication et rechapage de pneumatiques
22.21Z,"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques"
33.20D,"Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels"
22.22Z,Fabrication d'emballages en matières plastiques
22.23Z,Fabrication d'éléments en matières plastiques pour la construction
27.33Z,Fabrication de matériel d'installation électrique
22.29A,Fabrication de pièces techniques à base de matières plastiques
23.11Z,Fabrication de verre plat
23.12Z,Façonnage et transformation du verre plat
23.13Z,Fabrication de verre creux
23.14Z,Fabrication de fibres de verre
23.19Z,"Fabrication et façonnage d'autres articles en verre, y compris verre technique"
23.41Z,Fabrication d'articles céramiques à usage domestique ou ornemental
23.42Z,Fabrication d'appareils sanitaires en céramique
23.43Z,Fabrication d'isolateurs et pièces isolantes en céramique
23.44Z,Fabrication d'autres produits céramiques à usage technique
23.49Z,Fabrication d'autres produits céramiques
23.20Z,Fabrication de produits réfractaires
23.31Z,Fabrication de carreaux en céramique
23.32Z,"Fabrication de briques, tuiles et produits de construction, en terre cuite"
23.51Z,Fabrication de ciment
23.52Z,Fabrication de chaux et plâtre
23.61Z,Fabrication d'éléments en béton pour la construction
23.62Z,Fabrication d'éléments en plâtre pour la construction
23.63Z,Fabrication de béton prêt à l'emploi
23.64Z,Fabrication de mortiers et bétons secs
23.65Z,Fabrication d'ouvrages en fibre-ciment
23.69Z,"Fabrication d'autres ouvrages en béton, en ciment ou en plâtre"
23.70Z,"Taille, façonnage et finissage de pierres"
23.91Z,Fabrication de produits abrasifs
23.99Z,Fabrication d'autres produits minéraux non métalliques n.c.a.
24.10Z,Sidérurgie
24.51Z,Fonderie de fonte
24.52Z,Fonderie d'acier
24.20Z,"Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier "
24.31Z,Étirage à froid de barres
24.32Z,Laminage à froid de feuillards
24.33Z,Profilage à froid par formage ou pliage
24.34Z,Tréfilage à froid
24.41Z,Production de métaux précieux
24.42Z,Métallurgie de l'aluminium
24.43Z,"Métallurgie du plomb, du zinc ou de l'étain"
24.44Z,Métallurgie du cuivre
24.45Z,Métallurgie des autres métaux non ferreux
24.53Z,Fonderie de métaux légers
24.54Z,Fonderie d'autres métaux non ferreux
25.11Z,Fabrication de structures métalliques et de parties de structures
33.11Z,Réparation d'ouvrages en métaux
43.99B,Travaux de montage de structures métalliques
25.12Z,Fabrication de portes et fenêtres en métal
43.32B,Travaux de menuiserie métallique et serrurerie
25.29Z,"Fabrication d'autres réservoirs, citernes et conteneurs métalliques"
33.20A,"Installation de structures métalliques, chaudronnées et de tuyauterie"
25.21Z,Fabrication de radiateurs et de chaudières pour le chauffage central
25.30Z,"Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central"
25.50A,"Forge, estampage, matriçage ; métallurgie des poudres"
25.50B,"Découpage, emboutissage"
25.61Z,Traitement et revêtement des métaux
25.62A,Décolletage
25.62B,Mécanique industrielle
33.12Z,Réparation de machines et équipements mécaniques
25.71Z,Fabrication de coutellerie
25.73B,Fabrication d'autres outillages
28.49Z,Fabrication d'autres machines-outils 
25.72Z,Fabrication de serrures et de ferrures
25.91Z,Fabrication de fûts et emballages métalliques similaires
25.92Z,Fabrication d'emballages métalliques légers
25.93Z,"Fabrication d'articles en fils métalliques, de chaînes et de ressorts"
25.94Z,Fabrication de vis et de boulons
25.99A,Fabrication d'articles métalliques ménagers
25.99B,Fabrication d'autres articles métalliques
28.11Z,"Fabrication de moteurs et turbines, à l'exception des moteurs d’avions et de véhicules"
33.20B,Installation de machines et équipements mécaniques
28.12Z,Fabrication d'équipements hydrauliques et pneumatiques
28.13Z,Fabrication d'autres pompes et compresseurs
28.14Z,Fabrication d'autres articles de robinetterie
28.15Z,Fabrication d'engrenages et d'organes mécaniques de transmission
28.21Z,Fabrication de fours et brûleurs
28.22Z,Fabrication de matériel de levage et de manutention
43.29B,Autres travaux d'installation n.c.a.
28.25Z,Fabrication d'équipements aérauliques et frigorifiques industriels
28.29A,"Fabrication d'équipements d'emballage, de conditionnement et de pesage "
28.29B,Fabrication d'autres machines d'usage général
33.13Z,Réparation de matériels électroniques et optiques
28.30Z,Fabrication de machines agricoles et forestières
95.22Z,Réparation d'appareils électroménagers et d'équipements pour la maison et le jardin
28.93Z,Fabrication de machines pour l'industrie agro-alimentaire
28.41Z,Fabrication de machines-outils pour le travail des métaux
28.24Z,Fabrication d'outillage portatif à moteur incorporé
27.90Z,Fabrication d'autres matériels électriques
28.91Z,Fabrication de machines pour la métallurgie
28.92Z,Fabrication de machines pour l'extraction ou la construction
28.94Z,Fabrication de machines pour les industries textiles
28.95Z,Fabrication de machines pour les industries du papier et du carton
28.99A,Fabrication de machines d'imprimerie
28.96Z,Fabrication de machines pour le travail du caoutchouc ou des plastiques
25.73A,Fabrication de moules et modèles
28.99B,Fabrication d'autres machines spécialisées
25.40Z,Fabrication d'armes et de munitions
30.30Z,Construction aéronautique et spatiale 
30.40Z,Construction de véhicules militaires de combat 
27.51Z,Fabrication d'appareils électroménagers
33.14Z,Réparation d'équipements électriques
27.52Z,Fabrication d'appareils ménagers non électriques
26.20Z,Fabrication d'ordinateurs et d'équipements périphériques
28.23Z,Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques)
62.09Z,Autres activités informatiques
27.11Z,"Fabrication de moteurs, génératrices et transformateurs électriques"
27.12Z,Fabrication de matériel de distribution et de commande électrique
27.31Z,Fabrication de câbles de fibres optiques
27.32Z,Fabrication d'autres fils et câbles électroniques ou électriques
27.20Z,Fabrication de piles et d'accumulateurs électriques
27.40Z,Fabrication d'appareils d'éclairage électrique
29.31Z,Fabrication d'équipements électriques et électroniques automobiles
26.30Z,Fabrication d'équipements de communication 
26.51B,Fabrication d'instrumentation scientifique et technique
26.12Z,Fabrication de cartes électroniques assemblées
95.12Z,Réparation d'équipements de communication
26.40Z,Fabrication de produits électroniques grand public
26.70Z,Fabrication de matériels optique et photographique
26.60Z,"Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques "
31.01Z,Fabrication de meubles de bureau et de magasin
26.51A,Fabrication d'équipements d'aide à la navigation
33.20C,Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels 
32.50B,Fabrication de lunettes
26.52Z,Horlogerie
32.12Z,Fabrication d’articles de joaillerie et bijouterie
32.13Z,Fabrication d’articles de bijouterie fantaisie et articles similaires
29.10Z,Construction de véhicules automobiles
29.32Z,Fabrication d'autres équipements automobiles
30.91Z,Fabrication de motocycles
29.20Z,Fabrication de carrosseries et remorques
30.11Z,Construction de navires et de structures flottantes
33.15Z,Réparation et maintenance navale
30.12Z,Construction de bateaux de plaisance
30.20Z,Construction de locomotives et d'autre matériel ferroviaire roulant 
33.17Z,Réparation et maintenance d'autres équipements de transport
33.16Z,Réparation et maintenance d'aéronefs et d'engins spatiaux 
30.92Z,Fabrication de bicyclettes et de véhicules pour invalides
30.99Z,Fabrication d’autres équipements de transport n.c.a.
31.02Z,Fabrication de meubles de cuisine 
31.09A,Fabrication de sièges d'ameublement d'intérieur
31.09B,Fabrication d’autres meubles et industries connexes de l’ameublement
95.24Z,Réparation de meubles et d'équipements du foyer
31.09B,Fabrication d'autres meubles et industries connexes de l'ameublement
31.03Z,Fabrication de matelas
32.11Z,Frappe de monnaie
32.20Z,Fabrication d'instruments de musique
95.29Z,Réparation d'autres biens personnels et domestiques
32.40Z,Fabrication de jeux et jouets
32.91Z,Fabrication d’articles de brosserie
38.31Z,Démantèlement d'épaves
38.32Z,Récupération de déchets triés
35.11Z,Production d'électricité
35.12Z,Transport d'électricité
35.13Z,Distribution d'électricité
35.14Z,Commerce d'électricité
35.21Z,Production de combustibles gazeux
35.22Z,Distribution de combustibles gazeux par conduites
35.23Z,Commerce de combustibles gazeux par conduites
35.30Z,Production et distribution de vapeur et d'air conditionné 
36.00Z,"Captage, traitement et distribution d'eau"
37.00Z,Collecte et traitement des eaux usées
43.11Z,Travaux de démolition
43.12A,Travaux de terrassement courants et travaux préparatoires
43.12B,Travaux de terrassement spécialisés ou de grande masse
43.13Z,Forages et sondages
41.20A,Construction de maisons individuelles
43.99C,Travaux de maçonnerie générale et gros œuvre de bâtiment
41.20B,Construction d'autres bâtiments
42.13A,Construction d'ouvrages d'art
42.21Z,Construction de réseaux pour fluides
42.22Z,Construction de réseaux électriques et de télécommunications
42.99Z,Construction d'autres ouvrages de génie civil n.c.a.
43.99D,Autres travaux spécialisés de construction
42.12Z,Construction de voies ferrées de surface et souterraines
42.13B,Construction et entretien de tunnels
43.91B,Travaux de couverture par éléments
43.99A,Travaux d'étanchéification
42.11Z,Construction de routes et autoroutes
42.91Z,Construction d'ouvrages maritimes et fluviaux
39.00Z,Dépollution et autres services de gestion des déchets
43.21A,Travaux d'installation électrique dans tous locaux
43.22B,Travaux d' installation d'équipements thermiques et de climatisation
80.20Z,Activités liées aux systèmes de sécurité 
43.29A,Travaux d'isolation
43.22A,Travaux d'installation d'eau et de gaz en tous locaux
43.21B,Travaux d'installation électrique sur la voie publique
43.31Z,Travaux de plâtrerie
43.33Z,Travaux de revêtement des sols et des murs
43.34Z,Travaux de peinture et vitrerie
43.32C,Agencement de lieux de vente
43.39Z,Autres travaux de finition 
43.99E,Location avec opérateur de matériel de construction
45.11Z,Commerce de voitures et de véhicules automobiles légers
45.19Z,Commerce d'autres véhicules automobiles
45.20A,Entretien et réparation de véhicules automobiles légers
45.20B,Entretien et réparation d'autres véhicules automobiles
52.21Z,Services auxiliaires des transports terrestres
45.31Z,Commerce de gros d'équipements automobiles
45.32Z,Commerce de détail d'équipements automobiles
45.40Z,Commerce et réparation de motocycles
47.30Z,Commerce de détail de carburants en magasin spécialisé
46.11Z,"Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis"
46.12B,"Autres intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques"
46.13Z,Intermédiaires du commerce en bois et matériaux de construction
46.14Z,"Intermédiaires du commerce en machines, équipements industriels, navires et avions"
46.15Z,"Intermédiaires du commerce en meubles, articles de ménage et quincaillerie"
46.16Z,"Intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir"
46.17B,"Autres intermédiaires du commerce en denrées, boissons et tabac"
46.17A,Centrales d'achat alimentaires
46.18Z,Intermédiaires spécialisés dans le commerce d'autres produits spécifiques
46.19B,Autres intermédiaires du commerce en produits divers
46.12A,Centrales d'achat de carburant
46.19A,Centrales d'achat non alimentaires
46.21Z,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail "
46.22Z,Commerce de gros (commerce interentreprises) de fleurs et plantes
46.23Z,Commerce de gros (commerce interentreprises) d'animaux vivants
46.24Z,Commerce de gros (commerce interentreprises) de cuirs et peaux
46.31Z,Commerce de gros (commerce interentreprises) de fruits et légumes
46.32A,Commerce de gros (commerce interentreprises) de viandes de boucherie
46.32B,Commerce de gros (commerce interentreprises) de produits à base de viande
46.32C,Commerce de gros (commerce interentreprises) de volailles et gibier
46.33Z,"Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles"
46.34Z,Commerce de gros (commerce interentreprises) de boissons
46.35Z,Commerce de gros (commerce interentreprises) de produits à base de tabac
46.36Z,"Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie"
46.37Z,"Commerce de gros (commerce interentreprises) de café, thé, cacao et épices"
46.38A,"Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques"
46.38B,Commerce de gros (commerce interentreprises) alimentaire spécialisé divers
46.39A,Commerce de gros (commerce interentreprises) de produits surgelés
46.39B,Commerce de gros (commerce interentreprises) alimentaire non spécialisé
46.41Z,Commerce de gros (commerce interentreprises) de textiles
46.42Z,Commerce de gros (commerce interentreprises) d'habillement et de chaussures
46.43Z,Commerce de gros (commerce interentreprises) d'appareils électroménagers
46.47Z,"Commerce de gros (commerce interentreprises) de meubles, de tapis et d'appareils d'éclairage "
46.52Z,Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication
46.44Z,"Commerce de gros (commerce interentreprises) de vaisselle, verrerie et produits d'entretien"
46.49Z,Commerce de gros (commerce interentreprises) d'autres biens domestiques 
46.73B,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de décoration
46.45Z,Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté
46.46Z,Commerce de gros (commerce interentreprises) de produits pharmaceutiques
46.48Z,Commerce de gros (commerce interentreprises) d'articles d'horlogerie et de bijouterie
46.71Z,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
46.72Z,Commerce de gros (commerce interentreprises) de minerais et métaux
46.73A,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction 
46.73A,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction
46.74A,Commerce de gros (commerce interentreprises) de quincaillerie
46.74B,Commerce de gros (commerce interentreprises) de fournitures pour la plomberie et le chauffage
46.75Z,Commerce de gros (commerce interentreprises) de produits chimiques
46.76Z,Commerce de gros (commerce interentreprises) d'autres produits intermédiaires
46.77Z,Commerce de gros (commerce interentreprises) de déchets et débris
46.62Z,Commerce de gros (commerce interentreprises) de machines-outils
46.63Z,"Commerce de gros (commerce interentreprises) de machines pour l'extraction, la construction et le génie civil "
46.64Z,Commerce de gros (commerce interentreprises) de machines pour l'industrie textile et l'habillement
46.51Z,"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels"
46.65Z,Commerce de gros (commerce interentreprises) de mobilier de bureau
46.66Z,Commerce de gros (commerce interentreprises) d'autres machines et équipements de bureau 
46.69A,Commerce de gros (commerce interentreprises) de matériel électrique
46.69B,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers
46.69C,Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les services
46.61Z,Commerce de gros (commerce interentreprises) de matériel agricole
46.90Z,Commerce de gros (commerce interentreprises) non spécialisé
47.11A,Commerce de détail de produits surgelés
47.11B,Commerce d'alimentation générale
47.11C,Supérettes
47.11D,Supermarchés
47.11E,Magasins multi-commerces
47.11F,Hypermarchés
47.19A,Grands magasins
47.19B,Autres commerces de détail en magasin non spécialisé
47.21Z,Commerce de détail de fruits et légumes en magasin spécialisé
47.22Z,Commerce de détail de viandes et de produits à base de viande en magasin spécialisé
47.23Z,"Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé"
47.24Z,"Commerce de détail de pain, pâtisserie et confiserie en magasin spécialisé"
47.25Z,Commerce de détail de boissons en magasin spécialisé
47.26Z,Commerce de détail de produits à base de tabac en magasin spécialisé
47.29Z,Autres commerces de détail alimentaires en magasin spécialisé 
47.73Z,Commerce de détail de produits pharmaceutiques en magasin spécialisé
47.74Z,Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé
47.75Z,Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé
47.51Z,Commerce de détail de textiles en magasin spécialisé
47.71Z,Commerce de détail d'habillement en magasin spécialisé
47.72A,Commerce de détail de la chaussure
47.72B,Commerce de détail de maroquinerie et d'articles de voyage
47.59A,Commerce de détail de meubles
47.53Z,"Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé"
47.59B,Commerce de détail d'autres équipements du foyer
47.43Z,Commerce de détail de matériels audio et vidéo en magasin spécialisé
47.54Z,Commerce de détail d'appareils électroménagers en magasin spécialisé
47.63Z,Commerce de détail d'enregistrements musicaux et vidéo en magasin spécialisé
47.52A,"Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400  m2)"
47.52B,"Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m2 et plus)"
47.61Z,Commerce de détail de livres en magasin spécialisé
47.62Z,Commerce de détail de journaux et papeterie en magasin spécialisé
47.78A,Commerces de détail d'optique
47.78C,Autres commerces de détail spécialisés divers
47.77Z,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé
47.64Z,Commerce de détail d'articles de sport en magasin spécialisé
47.76Z,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé"
47.78B,Commerces de détail de charbons et combustibles
47.41Z,"Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé"
47.42Z,Commerce de détail de matériels de télécommunication en magasin spécialisé
47.65Z,Commerce de détail de jeux et jouets en magasin spécialisé
47.79Z,Commerce de détail de biens d'occasion en magasin
47.91A,Vente à distance sur catalogue général
47.91B,Vente à distance sur catalogue spécialisé
47.81Z,Commerce de détail alimentaire sur éventaires et marchés
47.82Z,"Commerce de détail de textiles, d'habillement et de chaussures sur éventaires et marchés"
47.89Z,Autres commerces de détail sur éventaires et marchés
47.99A,Vente à domicile
47.99B,"Vente par automates et autres commerces de détail hors magasin, éventaires ou marchés n.c.a."
95.23Z,Réparation de chaussures et d'articles en cuir
95.21Z,Réparation de produits électroniques grand public
95.25Z,Réparation d'articles d'horlogerie et de bijouterie
55.10Z,Hôtels et hébergement similaire 
55.20Z,Hébergement touristique et autre hébergement de courte durée 
55.30Z,Terrains de camping et parcs pour caravanes ou véhicules de loisirs
55.90Z,Autres hébergements 
56.10A,Restauration traditionnelle
56.10B,Cafétérias et autres libres-services
56.30Z,Débits de boissons
93.29Z,Autres activités récréatives et de loisirs
56.29B,Autres services de restauration n.c.a.
56.29A,Restauration collective sous contrat
56.21Z,Services des traiteurs 
49.10Z,Transport ferroviaire interurbain de voyageurs
49.20Z,Transports ferroviaires de fret 
49.31Z,Transports urbains et suburbains de voyageurs
49.39A,Transports routiers réguliers de voyageurs
49.39C,Téléphériques et remontées mécaniques
49.32Z,Transports de voyageurs par taxis
49.39B,Autres transports routiers de voyageurs 
49.41B,Transports routiers de fret de proximité
49.41A,Transports routiers de fret interurbains
49.42Z,Services de déménagement
49.41C,Location de camions avec chauffeur
49.50Z,Transports par conduites
50.10Z,Transports maritimes et côtiers de passagers
50.20Z,Transports maritimes et côtiers de fret
52.22Z,Services auxiliaires des transports par eau
50.30Z,Transports fluviaux de passagers
50.40Z,Transports fluviaux de fret 
51.10Z,Transports aériens de passagers
51.21Z,Transports aériens de fret
